date,min,max,mean,median,std
2022-06-190.78,0.874,0.827,0.827,0.066
2022-06-200.78,0.874,0.827,0.827,0.066
2022-06-210.781,0.875,0.828,0.828,0.066
2022-06-220.781,0.875,0.828,0.828,0.066
2022-06-230.782,0.875,0.829,0.829,0.066
2022-06-240.782,0.876,0.829,0.829,0.066
2022-06-250.783,0.876,0.83,0.83,0.066
2022-06-260.783,0.876,0.83,0.83,0.066
2022-06-270.784,0.877,0.831,0.831,0.066
2022-06-280.785,0.877,0.831,0.831,0.065
2022-06-290.785,0.878,0.832,0.832,0.066
2022-06-300.786,0.879,0.833,0.833,0.066
2022-07-010.787,0.879,0.833,0.833,0.065
2022-07-020.788,0.88,0.834,0.834,0.065
2022-07-030.789,0.881,0.835,0.835,0.065
2022-07-040.79,0.881,0.836,0.836,0.064
2022-07-050.79,0.882,0.836,0.836,0.065
2022-07-060.791,0.883,0.837,0.837,0.065
2022-07-070.792,0.884,0.838,0.838,0.065
2022-07-080.793,0.885,0.839,0.839,0.065
