date,min,max,mean,median,std
2022-06-190.443,0.468,0.456,0.456,0.018
2022-06-200.444,0.468,0.456,0.456,0.017
2022-06-210.444,0.468,0.456,0.456,0.017
2022-06-220.443,0.468,0.456,0.456,0.018
2022-06-230.443,0.468,0.456,0.456,0.018
2022-06-240.443,0.467,0.455,0.455,0.017
2022-06-250.442,0.467,0.455,0.455,0.018
2022-06-260.442,0.466,0.454,0.454,0.017
2022-06-270.441,0.466,0.454,0.454,0.018
2022-06-280.44,0.465,0.453,0.453,0.018
2022-06-290.44,0.464,0.452,0.452,0.017
2022-06-300.439,0.463,0.451,0.451,0.017
2022-07-010.437,0.462,0.45,0.45,0.018
2022-07-020.436,0.461,0.449,0.449,0.018
2022-07-030.435,0.46,0.448,0.448,0.018
2022-07-040.434,0.458,0.446,0.446,0.017
2022-07-050.432,0.457,0.445,0.445,0.018
2022-07-060.431,0.455,0.443,0.443,0.017
2022-07-070.429,0.454,0.442,0.442,0.018
2022-07-080.427,0.452,0.44,0.44,0.018
